amla2701,AMRAVATI-AMRAVATI-GP-amla
anjangaonbari2701,AMRAVATI-AMRAVATI-GP-anjangaonbari
antora2701,AMRAVATI-AMRAVATI-GP-antora 
bhankhedbujrug2701,AMRAVATI-AMRAVATI-GP-bhankhedbujrug 
bhankhedkhurd2701,AMRAVATI-AMRAVATI-GP-bhankhedkhurd 
bodna2701,AMRAVATI-AMRAVATI-GP-bodna 
borgaon2701,AMRAVATI-AMRAVATI-GP-borgaon 
brahamwadagovindpur2701,AMRAVATI-AMRAVATI-GP-brahamanwadagovindpur 
brahmanwadabhagat2701,AMRAVATI-AMRAVATI-GP-brahmanwadabhagat 
chichkhed2701,AMRAVATI-AMRAVATI-GP-chichkhed 
dawargaon2701,AMRAVATI-AMRAVATI-GP-dawargaon
devara2701,AMRAVATI-AMRAVATI-GP-devara 
dewri2701,AMRAVATI-AMRAVATI-GP-dewri
dhanora.kokate2701,AMRAVATI-AMRAVATI-GP-dhanora kokate 
digargawhan2701,AMRAVATI-AMRAVATI-GP-digargawhan 
gopalpur2701,AMRAVATI-AMRAVATI-GP-gopalpur 
indala2701,AMRAVATI-AMRAVATI-GP-indala 
jalkashahapur2701,AMRAVATI-AMRAVATI-GP-jalkashahapur 
kamunja2701,AMRAVATI-AMRAVATI-GP-kamunja 
kapustalani2701,AMRAVATI-AMRAVATI-GP-kapustalani 
karajgaon2701,AMRAVATI-AMRAVATI-GP-karajgaon 
kasturamogra2701,AMRAVATI-AMRAVATI-GP-kasturamogra 
katamla2701,AMRAVATI-AMRAVATI-GP-katamla 
kathorabk2701,AMRAVATI-AMRAVATI-GP-kathorabk
kathorakhurd2701,AMRAVATI-AMRAVATI-GP-kathorakhurd 
kekatpur2701,AMRAVATI-AMRAVATI-GP-kekatpur 
kundsarjapur2701,AMRAVATI-AMRAVATI-GP-kundsarjapur 
lontek2701,AMRAVATI-AMRAVATI-GP-lontek 
maholijh2701,AMRAVATI-AMRAVATI-GP-maholijh
malkapur2701,AMRAVATI-AMRAVATI-GP-malkapur 
masod2701,AMRAVATI-AMRAVATI-GP-masod 
nandgaonpeth2701,AMRAVATI-AMRAVATI-GP-nandgaonpeth 
nandurabk2701,AMRAVATI-AMRAVATI-GP-nandurabk
nanduralashkarpur2701,AMRAVATI-AMRAVATI-GP-nanduralashkarpur
nandurapingalai2701,AMRAVATI-AMRAVATI-GP-nandurapingalai 
nayaakola2701,AMRAVATI-AMRAVATI-GP-nayaakola 
pardi2701,AMRAVATI-AMRAVATI-GP-pardi 
pimpalwihir2701,AMRAVATI-AMRAVATI-GP-pimpalwihir 
pimpalkhuta2701,AMRAVATI-AMRAVATI-GP-pimpalkhuta 
