aajani.kh2401,LATUR-AHEMADPUR-AAJANI (KH)
aambegaon2401,LATUR-AHEMADPUR-AAMBEGAON
aanandwadi2401,LATUR-AHEMADPUR-AANANDWADI
andhori2401,LATUR-AHEMADPUR-ANDHORI
babaldara2401,LATUR-AHEMADPUR-BABALDARA
belur2401,LATUR-AHEMADPUR-BELUR
bodkha2401,LATUR-AHEMADPUR-BODKHA
bramahapuri2401,LATUR-AHEMADPUR-BRAMAHAPURI
chikhli2401,LATUR-AHEMADPUR-CHIKHLI
chilkha2401,LATUR-AHEMADPUR-CHILKHA
chobali2401,LATUR-AHEMADPUR-CHOBALI
dagadwadi2401,LATUR-AHEMADPUR-DAGADWADI
devkara2401,LATUR-AHEMADPUR-DEVKARA
dhalegaon2401,LATUR-AHEMADPUR-DHALEGAON
dhanora.kh2401,LATUR-AHEMADPUR-DHANORA (KH)
dhanori.bk2401,LATUR-AHEMADPUR-DHANORI (BK)
dhaswadi2401,LATUR-AHEMADPUR-DHASWADI
gadewadi2401,LATUR-AHEMADPUR-GADEWADI
gangahipparga2401,LATUR-AHEMADPUR-GANGAHIPPARGA
godhala2401,LATUR-AHEMADPUR-GODHALA
gugdal2401,LATUR-AHEMADPUR-GUGDAL
gunjoti2401,LATUR-AHEMADPUR-GUNJOTI
guttewadi2401,LATUR-AHEMADPUR-GUTTEWADI
hadolti2401,LATUR-AHEMADPUR-HADOLTI
hagadal2401,LATUR-AHEMADPUR-HAGADAL
halni2401,LATUR-AHEMADPUR-HALNI
hangarga.kh2401,LATUR-AHEMADPUR-HANGARGA (KH)
hasarni2401,LATUR-AHEMADPUR-HASARNI
hingangaon2401,LATUR-AHEMADPUR-HINGANGAON
hippalgaon2401,LATUR-AHEMADPUR-HIPPALGAON
hipparga.kajal2401,LATUR-AHEMADPUR-HIPPARGA (KAJAL)
hipparga.kop2401,LATUR-AHEMADPUR-HIPPARGA (KOP)
kalegaon2401,LATUR-AHEMADPUR-KALEGAON
kendrewadi2401,LATUR-AHEMADPUR-KENDREWADI
khanapur2401,LATUR-AHEMADPUR-KHANAPUR
khandali2401,LATUR-AHEMADPUR-KHANDALI
kharabwadi2401,LATUR-AHEMADPUR-KHARABWADI
kingaon2401,LATUR-AHEMADPUR-KINGAON
kinikadu2401,LATUR-AHEMADPUR-KINIKADU
kodgaon2401,LATUR-AHEMADPUR-KODGAON
kokanga2401,LATUR-AHEMADPUR-KOKANGA
kolwadi2401,LATUR-AHEMADPUR-KOLWADI
kopara2401,LATUR-AHEMADPUR-KOPARA
kumtha.bk2401,LATUR-AHEMADPUR-KUMTHA (BK)
lanji2401,LATUR-AHEMADPUR-LANJI
lendegaon2401,LATUR-AHEMADPUR-LENDEGAON
lingdhal2401,LATUR-AHEMADPUR-LINGDHAL
makni2401,LATUR-AHEMADPUR-MAKNI
malegaon.kh2401,LATUR-AHEMADPUR-MALEGAON (KH)
mandani2401,LATUR-AHEMADPUR-MANDANI
mawalgaon2401,LATUR-AHEMADPUR-MAWALGAON
methi2401,LATUR-AHEMADPUR-METHI
mogha2401,LATUR-AHEMADPUR-MOGHA
mohgaon2401,LATUR-AHEMADPUR-MOHGAON
molwan2401,LATUR-AHEMADPUR-MOLWAN
mulki2401,LATUR-AHEMADPUR-MULKI
nagathana2401,LATUR-AHEMADPUR-NAGATHANA
