nivagha2606,NANDED-HADGAON-GP-nivagha
shirad2606,NANDED-HADGAON-GP-shirad
kohali2606,NANDED-HADGAON-GP-kohali
pewa2606,NANDED-HADGAON-GP-pewa
manula.bk2606,NANDED-HADGAON-GP-manula.bk
yelamb2606,NANDED-HADGAON-GP-yelamb
sapati2606,NANDED-HADGAON-GP-sapati
matala2606,NANDED-HADGAON-GP-matala
talani2606,NANDED-HADGAON-GP-talani
umri.kd2606,NANDED-HADGAON-GP-umri.kd
unchegaon.bk2606,NANDED-HADGAON-GP-unchegaon.bk
sioor2606,NANDED-HADGAON-GP-sioor
amgawan2606,NANDED-HADGAON-GP-amgawan 
chakri2606,NANDED-HADGAON-GP-chakri
mahatala2606,NANDED-HADGAON-GP-mahatala
bhategaon2606,NANDED-HADGAON-GP-bhategaon
irapur2606,NANDED-HADGAON-GP-irapur
waki.m2606,NANDED-HADGAON-GP-waki.m
niwala2606,NANDED-HADGAON-GP-niwala
palsa2606,NANDED-HADGAON-GP-palsa
malzara2606,NANDED-HADGAON-GP-malzara
gargawan2606,NANDED-HADGAON-GP-gargawan
karla.m2606,NANDED-HADGAON-GP-karla.m
chinchgawan2606,NANDED-HADGAON-GP-chinchgawan
bardshewala2606,NANDED-HADGAON-GP-bardshewala
pimparkhed2606,NANDED-HADGAON-GP-pimparkhed
bamni2606,NANDED-HADGAON-GP-bamni
bamanitanda2606,NANDED-HADGAON-GP-bamanitanda
chendakapur2606,NANDED-HADGAON-GP-chendakapur
marlegaon2606,NANDED-HADGAON-GP-marlegaon
kawana2606,NANDED-HADGAON-GP-kawana
taroda2606,NANDED-HADGAON-GP-taroda
kedarguda2606,NANDED-HADGAON-GP-kedarguda
chormba.kd2606,NANDED-HADGAON-GP-chormba.kd
kharbi2606,NANDED-HADGAON-GP-kharbi
kusalwadi2606,NANDED-HADGAON-GP-kusalwadi
chormba.bk2606,NANDED-HADGAON-GP-chormba.bk
panghri.na2606,NANDED-HADGAON-GP-panghri.na
lyahari2606,NANDED-HADGAON-GP-lyahari
umari.d2606,NANDED-HADGAON-GP-umari.d
pingli2606,NANDED-HADGAON-GP-pingli
dorlitaklgaon2606,NANDED-HADGAON-GP-dorlitaklgaon
dongargaon2606,NANDED-HADGAON-GP-dongargaon
rule.dha2606,NANDED-HADGAON-GP-rule.dha
ambala2606,NANDED-HADGAON-GP-ambala
hastra2606,NANDED-HADGAON-GP-hastra
karodi2606,NANDED-HADGAON-GP-karodi
borgaon2606,NANDED-HADGAON-GP-borgaon
gojegaon2606,NANDED-HADGAON-GP-gojegaon
dhanora.ruie2606,NANDED-HADGAON-GP-dhanora.ruie
bhanegaon.tanda2606,NANDED-HADGAON-GP-bhanegaon.tanda
kaleshwar2606,NANDED-HADGAON-GP-kaleshwar
gorlegaon2606,NANDED-HADGAON-GP-gorlegaon
wategaon2606,NANDED-HADGAON-GP-wategaon
kothala2606,NANDED-HADGAON-GP-kothala
hardaf2606,NANDED-HADGAON-GP-hardaf
banchicholi2606,NANDED-HADGAON-GP-banchicholi
babhali2606,NANDED-HADGAON-GP-babhali
hadsani2606,NANDED-HADGAON-GP-hadsani
belmandal2606,NANDED-HADGAON-GP-belmandal
dagadwadi2606,NANDED-HADGAON-GP-dagadwadi
gurphali2606,NANDED-HADGAON-GP-gurphali
gurphali2606,NANDED-HADGAON-GP-gurphali
ashti2606,NANDED-HADGAON-GP-ashti
walki.kd2606,NANDED-HADGAON-GP-walki.kd
walki.kd2606,NANDED-HADGAON-GP-walki.kd
dhanora.ta2606,NANDED-HADGAON-GP-dhanora.ta
pathard2606,NANDED-HADGAON-GP-pathard
talegaon.morgwan2606,NANDED-HADGAON-GP-talegaon.morgwan
kolgaon2606,NANDED-HADGAON-GP-kolgaon
shivani2606,NANDED-HADGAON-GP-shivani
kopara2606,NANDED-HADGAON-GP-kopara
rawangaon.ta2606,NANDED-HADGAON-GP-rawangaon.ta
lingapur2606,NANDED-HADGAON-GP-lingapur
walki.bk2606,NANDED-HADGAON-GP-walki.bk
umari.ja2606,NANDED-HADGAON-GP-umari.ja
ghogari2606,NANDED-HADGAON-GP-ghogari
chikala2606,NANDED-HADGAON-GP-chikala
yawali2606,NANDED-HADGAON-GP-yawali
rajwadi2606,NANDED-HADGAON-GP-rajwadi
pimpalgaon2606,NANDED-HADGAON-GP-pimpalgaon
shivpuri2606,NANDED-HADGAON-GP-shivpuri
waiphna.kd2606,NANDED-HADGAON-GP-waiphna.kd
bramhawadi2606,NANDED-HADGAON-GP-bramhawadi
waiphna.bk2606,NANDED-HADGAON-GP-waiphna.bk
gavatwadi2606,NANDED-HADGAON-GP-gavatwadi
talaychiwadi2606,NANDED-HADGAON-GP-talaychiwadi
kanjara2606,NANDED-HADGAON-GP-kanjara
tamsa2606,NANDED-HADGAON-GP-tamsa
nava2606,NANDED-HADGAON-GP-nava
paghnri.ta2606,NANDED-HADGAON-GP-paghnri.ta
wadgaon.bk2606,NANDED-HADGAON-GP-wadgaon.bk
rawangaon.m2606,NANDED-HADGAON-GP-rawangaon.m
