amdura2612,NANDED-MODKHED-AMDURA
barad2612,NANDED-MODKHED-BARAD
borgaon.nadri2612,NANDED-MODKHED-BORGAON NADRI
chikala2612,NANDED-MODKHED-CHIKALA
chikala.lahan2612,NANDED-MODKHED-CHIKALA TANDA (Lahan)
chikala.motha2612,NANDED-MODKHED-CHIKALA TANDA (MOTHA)
chilpimpri2612,NANDED-MODKHED-CHILPIMPRI
daregaon2612,NANDED-MODKHED-DAREGAON
daregaon.wadi2612,NANDED-MODKHED-DAREGAON WADI
devapur2612,NANDED-MODKHED-DEVAPUR
dhanaj2612,NANDED-MODKHED-DHANAJ
dongaon2612,NANDED-MODKHED-DONGAON
dongargaon2612,NANDED-MODKHED-DONGARGAON
gopalwadi2612,NANDED-MODKHED-GOPALWADI
hajapur2612,NANDED-MODKHED-HAJAPUR
hissa2612,NANDED-MODKHED-HISSA PATHRAD
ijli2612,NANDED-MODKHED-IJLI
jawala.pathak2612,NANDED-MODKHED-JAWALA PATHAK
jawla.murar2612,NANDED-MODKHED-JAWLA MURAR
kamlaj2612,NANDED-MODKHED-KAMLAJ
khambala2612,NANDED-MODKHED-KHAMBALA
khujda2612,NANDED-MODKHED-KHUJDA
kolha2612,NANDED-MODKHED-KOLHA
mahati2612,NANDED-MODKHED-MAHATI
malkautha2612,NANDED-MODKHED-MALKAUTHA
mendhaka2612,NANDED-MODKHED-MENDHAKA
mugat2612,NANDED-MODKHED-MUGAT
nageli2612,NANDED-MODKHED-NAGELI
niwagha2612,NANDED-MODKHED-NIWAGHA
pandharwadi2612,NANDED-MODKHED-PANDHARWADI
pangargaon2612,NANDED-MODKHED-PANGARGAON
pardi2612,NANDED-MODKHED-PARDI VAIJAPUR
pathrad2612,NANDED-MODKHED-PATHRAD
pimpalkautha2612,NANDED-MODKHED-PIMPALKAUTHA
pimpalkautha.magre2612,NANDED-MODKHED-PIMPALKAUTHA MAGRE
rajawadi2612,NANDED-MODKHED-RAJAWADI
rohi2612,NANDED-MODKHED-ROHI PIMPALGAON
rohi.tanda2612,NANDED-MODKHED-ROHI PIMPALGAON Tanda
saregaon2612,NANDED-MODKHED-SAREGAON
shankha.teerth2612,NANDED-MODKHED-SHANKHA TEERTH
shemboli2612,NANDED-MODKHED-SHEMBOLI
takli2612,NANDED-MODKHED-TAKLI
tirkaswadi2612,NANDED-MODKHED-TIRKASWADI
vaijapur2612,NANDED-MODKHED-VAIJAPUR (PA)
wadi.muktaji2612,NANDED-MODKHED-WADI MUKTAJI
wadi.muktapur2612,NANDED-MODKHED-WADI MUKTAPUR
wadi.niyam2612,NANDED-MODKHED-WADI NIYAM TULLAPUR
wai2612,NANDED-MODKHED-WAI
wardada.tanda2612,NANDED-MODKHED-WARDADA TANDA
wasri2612,NANDED-MODKHED-WASRI
abdulapur2616,NANDED-UMRI-ABDULAPUR
aswaldari2616,NANDED-UMRI-ASWALDARI
balegaon2616,NANDED-UMRI-BALEGAON
beldara2616,NANDED-UMRI-BELDARA
bhayegaon2616,NANDED-UMRI-BHAYEGAON
bijegaon2616,NANDED-UMRI-BIJEGAON
bitnal2616,NANDED-UMRI-BITNAL
bolsa.bk2616,NANDED-UMRI-BOLSA (BK)
bolsa.gp2616,NANDED-UMRI-BOLSA (GP)
borjuni2616,NANDED-UMRI-BORJUNI
bothi2616,NANDED-UMRI-BOTHI
chinchala2616,NANDED-UMRI-CHINCHALA (PU)
dhanora2616,NANDED-UMRI-DHANORA (BK)
dhol.umari2616,NANDED-UMRI-DHOL UMARI
ganipur2616,NANDED-UMRI-GANIPUR
golegaon2616,NANDED-UMRI-GOLEGAON
gortha2616,NANDED-UMRI-GORTHA
hangarga2616,NANDED-UMRI-HANGARGA
hassa2616,NANDED-UMRI-HASSA
hatni2616,NANDED-UMRI-HATNI
hiradgaon2616,NANDED-UMRI-HIRADGAON
hunda.pg2616,NANDED-UMRI-HUNDA (PG)
hunda.pu2616,NANDED-UMRI-HUNDA (PU)
ijjatgaon2616,NANDED-UMRI-IJJATGAON
ishwarnagar2616,NANDED-UMRI-ISHWARNAGAR
jamgaon2616,NANDED-UMRI-JAMGAON
jirona2616,NANDED-UMRI-JIRONA
kalgaon2616,NANDED-UMRI-KALGAON
karkala2616,NANDED-UMRI-KARKALA
karla2616,NANDED-UMRI-KARLA
kaudgaon2616,NANDED-UMRI-KAUDGAON
kawalguda.bk2616,NANDED-UMRI-KAWALGUDA (BK)
kawalguda.kh2616,NANDED-UMRI-KAWALGUDA (KH)
kudla2616,NANDED-UMRI-KUDLA
mahati2616,NANDED-UMRI-MAHATI
mandala2616,NANDED-UMRI-MANDALA
manur2616,NANDED-UMRI-MANUR
mokhandi2616,NANDED-UMRI-MOKHANDI (J)
nagthana.bk2616,NANDED-UMRI-NAGTHANA (BK)
nagthana.kh2616,NANDED-UMRI-NAGTHANA (KH)
nimtek2616,NANDED-UMRI-NIMTEK
palasgaon2616,NANDED-UMRI-PALASGAON
rahati.bk2616,NANDED-UMRI-RAHATI (BK)
ramkhadak2616,NANDED-UMRI-RAMKHADAK
sawargaon.d2616,NANDED-UMRI-SAWARGAON (D)
sawargaon.kala2616,NANDED-UMRI-SAWARGAON KALA
shalgaon2616,NANDED-UMRI-SHALGAON
shirur2616,NANDED-UMRI-SHIRUR
shivangaon2616,NANDED-UMRI-SHIVANGAON
sindhi2616,NANDED-UMRI-SINDHI
singnapur2616,NANDED-UMRI-SINGNAPUR
somthana.pu2616,NANDED-UMRI-SOMTHANA (PU)
talegaon2616,NANDED-UMRI-TALEGAON
turati2616,NANDED-UMRI-TURATI
vasantnagar2616,NANDED-UMRI-VASANTNAGAR
waghala2616,NANDED-UMRI-WAGHALA
waghalwada2616,NANDED-UMRI-WAGHALWADA
yelegaon2616,NANDED-UMRI-YELEGAON (GP)
