joo-nandurkhi0402,THANE-BHIWANDI-GP-joo-nandurkhi
kongaon0402,THANE-BHIWANDI-GP-kongaon
kalher0402,THANE-BHIWANDI-GP-kalher
chane0402,THANE-BHIWANDI-GP-chane
kambe0402,THANE-BHIWANDI-GP-kambe
dhabhad0402,THANE-BHIWANDI-GP-dhabhad
pachchapur0402,THANE-BHIWANDI-GP-pachchapur
kambala0402,THANE-BHIWANDI-GP-kambala
dapodaha0402,THANE-BHIWANDI-GP-dapodaha
ambadhi0402,THANE-BHIWANDI-GP-ambadhi
ganeshpuri0402,THANE-BHIWANDI-GP-ganeshpuri
pimplas0402,THANE-BHIWANDI-GP-pimplas
angoan0402,THANE-BHIWANDI-GP-angoan
pimpalghar0402,THANE-BHIWANDI-GP-pimpalghar
bhinar0402,THANE-BHIWANDI-GP-bhinar
anjur0402,THANE-BHIWANDI-GP-anjur
katai0402,THANE-BHIWANDI-GP-katai
vadghar0402,THANE-BHIWANDI-GP-vadghar
kasheli0402,THANE-BHIWANDI-GP-kasheli
pahare0402,THANE-BHIWANDI-GP-pahare
rahnal0402,THANE-BHIWANDI-GP-rahnal
purna0402,THANE-BHIWANDI-GP-purna
lakiwali0402,THANE-BHIWANDI-GP-lakiwali
koni0402,THANE-BHIWANDI-GP-koni
palkhane0402,THANE-BHIWANDI-GP-palkhane
dugad0402,THANE-BHIWANDI-GP-dugad
mohili0402,THANE-BHIWANDI-GP-mohili 
vajreshwari0402,THANE-BHIWANDI-GP-vajreshwari
gove0402,THANE-BHIWANDI-GP-gove
owli0402,THANE-BHIWANDI-GP-owli
kawad0402,THANE-BHIWANDI-GP-kawad
thalvali0402,THANE-BHIWANDI-GP-thalvali
khoshimbe0402,THANE-BHIWANDI-GP-khoshimbe
pilanze0402,THANE-BHIWANDI-GP-pilanze
kelhe0402,THANE-BHIWANDI-GP-kelhe
zidake0402,THANE-BHIWANDI-GP-zidake
akloli0402,THANE-BHIWANDI-GP-akloli
mahapoli0402,THANE-BHIWANDI-GP-mahapoli
karvali0402,THANE-BHIWANDI-GP-karvali
val0402,THANE-BHIWANDI-GP-val
pariwali0402,THANE-BHIWANDI-GP-pariwali
shelar0402,THANE-BHIWANDI-GP-shelar
awale0402,THANE-BHIWANDI-GP-awale
eksal0402,THANE-BHIWANDI-GP-eksal
dudhani0402,THANE-BHIWANDI-GP-dudhani
asnoli0402,THANE-BHIWANDI-GP-asnoli
kusapur0402,THANE-BHIWANDI-GP-kusapur
chimchavali0402,THANE-BHIWANDI-GP-chimchavali
kharivali0402,THANE-BHIWANDI-GP-kharivali
lamaj0402,THANE-BHIWANDI-GP-lamaj
digashi0402,THANE-BHIWANDI-GP-digashi
varte0402,THANE-BHIWANDI-GP-varte
mahalunge0402,THANE-BHIWANDI-GP-mahalunge
gotgoan0402,THANE-BHIWANDI-GP-gotgoan
lonad0402,THANE-BHIWANDI-GP-lonad
vedhe0402,THANE-BHIWANDI-GP-vedhe
shirole0402,THANE-BHIWANDI-GP-shirole
vadavali0402,THANE-BHIWANDI-GP-vadavali
balegaon0406,THANE-MURBAD-GP-balegaon
bandhivali0406,THANE-MURBAD-GP-bandhivali
bhadane0406,THANE-MURBAD-GP-bhadane
bhorande0406,THANE-MURBAD-GP-bhorande
bursunge0406,THANE-MURBAD-GP-bursunge
chasole0406,THANE-MURBAD-GP-chasole
dhasai0406,THANE-MURBAD-GP-dhasai
eklahare0406,THANE-MURBAD-GP-eklahare
inde0406,THANE-MURBAD-GP-inde
karchonde0406,THANE-MURBAD-GP-karchonde
kedurli0406,THANE-MURBAD-GP-kedurli
khandare0406,THANE-MURBAD-GP-khandare
khapari0406,THANE-MURBAD-GP-khapari
khopiwali0406,THANE-MURBAD-GP-khopiwali
khutal(ba)0406,THANE-MURBAD-GP-khutal(ba)
kisal0406,THANE-MURBAD-GP-kisal
koloshi0406,THANE-MURBAD-GP-koloshi
korawale0406,THANE-MURBAD-GP-korawale
mal0406,THANE-MURBAD-GP-mal
maniwali(shi)0406,THANE-MURBAD-GP-maniwali(shi)
merdi0406,THANE-MURBAD-GP-merdi
mhasa0406,THANE-MURBAD-GP-mhasa
milhe0406,THANE-MURBAD-GP-milhe
mohghar0406,THANE-MURBAD-GP-mohghar
moroshi0406,THANE-MURBAD-GP-moroshi
nandgaon0406,THANE-MURBAD-GP-nandgaon
parhe0406,THANE-MURBAD-GP-parhe
sakhare0406,THANE-MURBAD-GP-sakhare
shelgaon0406,THANE-MURBAD-GP-shelgaon
shiroshi0406,THANE-MURBAD-GP-shiroshi
shirvali(ma)0406,THANE-MURBAD-GP-shirvali(ma)
shivale0406,THANE-MURBAD-GP-shivale
talegaon0406,THANE-MURBAD-GP-talegaon
talvali(ba)0406,THANE-MURBAD-GP-talvali(ba)
tokawde0406,THANE-MURBAD-GP-tokawde
vadawali0406,THANE-MURBAD-GP-vadawali
vaishakhare0406,THANE-MURBAD-GP-vaishakhare
veluk0406,THANE-MURBAD-GP-veluk
vidhe0406,THANE-MURBAD-GP-vidhe
zadghar0406,THANE-MURBAD-GP-zadghar
alyani0408,THANE-SHAHAPUR-GP-alyani
apade0408,THANE-SHAHAPUR-GP-apade
apate0408,THANE-SHAHAPUR-GP-apate 
asnoli0408,THANE-SHAHAPUR-GP-asnoli
atgaon0408,THANE-SHAHAPUR-GP-atgaon
aware0408,THANE-SHAHAPUR-GP-aware 
bhatsai0408,THANE-SHAHAPUR-GP-bhatsai
bhavse0408,THANE-SHAHAPUR-GP-bhavse
chariv0408,THANE-SHAHAPUR-GP-chariv
cherpoli0408,THANE-SHAHAPUR-GP-cherpoli
chikhalgaon0408,THANE-SHAHAPUR-GP-chikhalgaon
dhadhare0408,THANE-SHAHAPUR-GP-dhadhare
dolkhamb0408,THANE-SHAHAPUR-GP-dolkhamb
gegaon0408,THANE-SHAHAPUR-GP-gegaon
gothegaon0408,THANE-SHAHAPUR-GP-gothegaon
gotheghar0408,THANE-SHAHAPUR-GP-gotheghar
gunde0408,THANE-SHAHAPUR-GP-gunde
hiv0408,THANE-SHAHAPUR-GP-hiv
jambulwad0408,THANE-SHAHAPUR-GP-jambulwad 
kalamgaon0408,THANE-SHAHAPUR-GP-kalamgaon
kalgaon0408,THANE-SHAHAPUR-GP-kalgaon
kanadi0408,THANE-SHAHAPUR-GP-kanadi
kanve0408,THANE-SHAHAPUR-GP-kanve
khutghar0408,THANE-SHAHAPUR-GP-khutghar 
kothere0408,THANE-SHAHAPUR-GP-kothere
malegaon0408,THANE-SHAHAPUR-GP-malegaon
manjare0408,THANE-SHAHAPUR-GP-manjare
mugaon0408,THANE-SHAHAPUR-GP-mugaon
musai0408,THANE-SHAHAPUR-GP-musai 
nandwal0408,THANE-SHAHAPUR-GP-nandwal
sahenawe0408,THANE-SHAHAPUR-GP-sahenawe 
